task_id,candidate_id,employee_id,milestone,task_type,related_skill_id,planned_at,assigned_at,completed_at,evidence_ref,work_evidence,status,mentor_confirmed,decision_provenance
TASK_EMP_C0010_01,C0010,EMP_C0010,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-03T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0010_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0010_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-03T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_06"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0010_02,C0010,EMP_C0010,MONTH_3,PIPELINE_REVIEW,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-05-30T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0010_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0010_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-05-30T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_06"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0010_03,C0010,EMP_C0010,MONTH_6,WORK_TASK,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-28T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0010_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0010_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-28T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_06"",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0014_01,C0014,EMP_C0014,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-03T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0014_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0014_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-03T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0014_02,C0014,EMP_C0014,MONTH_3,PIPELINE_REVIEW,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-06T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0014_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0014_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-06T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0014_03,C0014,EMP_C0014,MONTH_6,WORK_TASK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-09-04T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0014_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0014_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-09-04T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""WORK_TASK"",""verification"":""CHECK_PENDING""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0014_04,C0014,EMP_C0014,EXTENDED,FOLLOW_UP_WORK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-10-04T09:00:00+09:00,2027-10-04T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0014_04/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0014_04"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-10-04T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""FOLLOW_UP_WORK"",""verification"":""CHECK_PENDING""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_01,C0012,EMP_C0012,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-03T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-03T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_02,C0012,EMP_C0012,MONTH_3,PIPELINE_REVIEW,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-02T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-02T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_03,C0012,EMP_C0012,MONTH_6,WORK_TASK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-28T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-28T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_04,C0012,EMP_C0012,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-07T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_04/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_04"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-07T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_05"",""task"":""ENVIRONMENT_CHECK"",""verification"":""CHECK_PENDING""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
