gap_id,employee_id,skill_id,gap_level,gap_source,source_evidence_id,final_decision_id,requirement_ref,rationale,confirmed_by,confirmed_at,decision_provenance
GAP_EMP_C0010_M1_SKILL_06,EMP_C0010,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0010_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0010_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0014_M1_SKILL_03,EMP_C0014,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0014_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0014_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0012_M1_SKILL_03,EMP_C0012,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0012_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0012_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0012_M1_SKILL_05,EMP_C0012,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0012_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0012_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0039_M1_SKILL_03,EMP_C0039,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0039_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0039_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0021_M1_SKILL_03,EMP_C0021,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0021_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0021_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0021_M1_SKILL_05,EMP_C0021,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0021_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0021_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0077_M1_SKILL_05,EMP_C0077,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0077_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0077_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0050_M1_SKILL_03,EMP_C0050,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0050_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0050_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0050_M1_SKILL_05,EMP_C0050,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0050_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0050_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
