workforce_event_id,employee_id,event_type,effective_at,source_ref,confirmed_by,confirmed_at,decision_provenance
WF_EMP_C0010_JOINED,EMP_C0010,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0010,,,
WF_EMP_C0010_ONBOARDING_STARTED,EMP_C0010,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0010,,,
WF_EMP_C0010_READY_CONFIRMED,EMP_C0010,READY_CONFIRMED,2027-08-28T09:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0010_M1_SKILL_06""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0010_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0010_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0010_03/work_evidence""]}",MENTOR_POOL_01,2027-08-28T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0014_JOINED,EMP_C0014,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0014,,,
WF_EMP_C0014_ONBOARDING_STARTED,EMP_C0014,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0014,,,
WF_EMP_C0014_RAMP_UP_EXTENDED,EMP_C0014,RAMP_UP_EXTENDED,2027-09-04T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0014_03/work_evidence,MENTOR_POOL_01,2027-09-04T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0012_JOINED,EMP_C0012,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0012,,,
WF_EMP_C0012_ONBOARDING_STARTED,EMP_C0012,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0012,,,
WF_EMP_C0012_RAMP_UP_EXTENDED,EMP_C0012,RAMP_UP_EXTENDED,2027-08-31T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_01/work_evidence,MENTOR_POOL_01,2027-08-31T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0037_JOINED,EMP_C0037,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0037,,,
WF_EMP_C0037_ONBOARDING_STARTED,EMP_C0037,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0037,,,
WF_EMP_C0037_RAMP_UP_EXTENDED,EMP_C0037,RAMP_UP_EXTENDED,2027-09-11T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0037_01/work_evidence,MENTOR_POOL_01,2027-09-11T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0037_READY_CONFIRMED,EMP_C0037,READY_CONFIRMED,2027-10-14T09:00:00+09:00,"{""gap_ids"":[],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0037_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0037_03/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0037_04/work_evidence""]}",MENTOR_POOL_01,2027-10-14T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0039_JOINED,EMP_C0039,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0039,,,
WF_EMP_C0039_ONBOARDING_STARTED,EMP_C0039,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0039,,,
WF_EMP_C0039_RAMP_UP_EXTENDED,EMP_C0039,RAMP_UP_EXTENDED,2027-08-28T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0039_02/work_evidence,MENTOR_POOL_01,2027-08-28T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0039_READY_CONFIRMED,EMP_C0039,READY_CONFIRMED,2027-10-11T09:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0039_M1_SKILL_03""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0039_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0039_03/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0039_04/work_evidence""]}",MENTOR_POOL_01,2027-10-11T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0021_JOINED,EMP_C0021,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0021,,,
