employee_id,source_candidate_id,joined_at,onboarding_started_at,planned_ready_at
EMP_C0010,C0010,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0014,C0014,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0012,C0012,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0037,C0037,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0039,C0039,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0021,C0021,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0077,C0077,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0050,C0050,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0061,C0061,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0048,C0048,2027-03-02T16:40:00+09:00,2027-03-02T16:40:00+09:00,2027-08-29T16:40:00+09:00
EMP_C0128,C0128,2027-03-03T17:45:00+09:00,2027-03-03T17:45:00+09:00,2027-08-30T17:45:00+09:00
EMP_C0079,C0079,2027-03-01T19:20:00+09:00,2027-03-01T19:20:00+09:00,2027-08-28T19:20:00+09:00
EMP_C0078,C0078,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0123,C0123,2027-03-03T13:15:00+09:00,2027-03-03T13:15:00+09:00,2027-08-30T13:15:00+09:00
EMP_C0102,C0102,2027-03-02T13:25:00+09:00,2027-03-02T13:25:00+09:00,2027-08-29T13:25:00+09:00
EMP_C0068,C0068,2027-03-02T11:35:00+09:00,2027-03-02T11:35:00+09:00,2027-08-29T11:35:00+09:00
EMP_C0140,C0140,2027-03-12T12:40:00+09:00,2027-03-12T12:40:00+09:00,2027-09-08T12:40:00+09:00
EMP_C0121,C0121,2027-03-10T15:00:00+09:00,2027-03-10T15:00:00+09:00,2027-09-06T15:00:00+09:00
EMP_C0142,C0142,2027-03-19T14:55:00+09:00,2027-03-19T14:55:00+09:00,2027-09-15T14:55:00+09:00
EMP_C0107,C0107,2027-03-04T17:30:00+09:00,2027-03-04T17:30:00+09:00,2027-08-31T17:30:00+09:00
EMP_C0113,C0113,2027-03-06T16:45:00+09:00,2027-03-06T16:45:00+09:00,2027-09-02T16:45:00+09:00
EMP_C0135,C0135,2027-03-07T13:20:00+09:00,2027-03-07T13:20:00+09:00,2027-09-03T13:20:00+09:00
EMP_C0151,C0151,2027-03-18T12:55:00+09:00,2027-03-18T12:55:00+09:00,2027-09-14T12:55:00+09:00
EMP_C0175,C0175,2027-03-12T13:55:00+09:00,2027-03-12T13:55:00+09:00,2027-09-08T13:55:00+09:00
EMP_C0164,C0164,2027-03-08T16:40:00+09:00,2027-03-08T16:40:00+09:00,2027-09-04T16:40:00+09:00
EMP_C0131,C0131,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0148,C0148,2027-03-15T19:30:00+09:00,2027-03-15T19:30:00+09:00,2027-09-11T19:30:00+09:00
EMP_C0194,C0194,2027-03-11T18:10:00+09:00,2027-03-11T18:10:00+09:00,2027-09-07T18:10:00+09:00
EMP_C0167,C0167,2027-03-21T17:00:00+09:00,2027-03-21T17:00:00+09:00,2027-09-17T17:00:00+09:00
EMP_C0199,C0199,2027-03-14T16:25:00+09:00,2027-03-14T16:25:00+09:00,2027-09-10T16:25:00+09:00
EMP_C0186,C0186,2027-03-12T13:35:00+09:00,2027-03-12T13:35:00+09:00,2027-09-08T13:35:00+09:00
EMP_C0173,C0173,2027-03-09T19:50:00+09:00,2027-03-09T19:50:00+09:00,2027-09-05T19:50:00+09:00
EMP_C0181,C0181,2027-03-22T12:00:00+09:00,2027-03-22T12:00:00+09:00,2027-09-18T12:00:00+09:00
EMP_C0202,C0202,2027-03-17T13:40:00+09:00,2027-03-17T13:40:00+09:00,2027-09-13T13:40:00+09:00
EMP_C0166,C0166,2027-03-19T11:55:00+09:00,2027-03-19T11:55:00+09:00,2027-09-15T11:55:00+09:00
