assignment_event_id,stage_event_id,reservation_id,event_type,person_hours,effective_at,activity_id,participant_id,reason_code
ASG_000000,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,RESERVED,4,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000001,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T09:25:00+09:00,APP0002_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,FIRST_PANEL_01_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000002,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T09:25:00+09:00,APP0002_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,FIRST_PANEL_01_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000003,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T09:50:00+09:00,APP0002_FIRST_INTERVIEW_AI_CASE,FIRST_PANEL_01_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000004,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T09:50:00+09:00,APP0002_FIRST_INTERVIEW_AI_CASE,FIRST_PANEL_01_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000005,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T10:15:00+09:00,APP0002_FIRST_INTERVIEW_PRACTITIONER_QA,FIRST_PANEL_01_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000006,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T10:15:00+09:00,APP0002_FIRST_INTERVIEW_PRACTITIONER_QA,FIRST_PANEL_01_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000007,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.33333333,2026-12-14T10:35:00+09:00,APP0002_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_01_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000008,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,0.33333333,2026-12-14T10:35:00+09:00,APP0002_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_01_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000009,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,RELEASED,0.83333332,2026-12-14T10:35:00+09:00,,,COMPLETED_UNUSED
ASG_000010,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,RESERVED,4,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000011,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.58333333,2026-12-14T09:35:00+09:00,APP0003_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,FIRST_PANEL_02_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000012,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.58333333,2026-12-14T09:35:00+09:00,APP0003_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,FIRST_PANEL_02_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000013,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.58333333,2026-12-14T10:10:00+09:00,APP0003_FIRST_INTERVIEW_AI_CASE,FIRST_PANEL_02_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000014,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.58333333,2026-12-14T10:10:00+09:00,APP0003_FIRST_INTERVIEW_AI_CASE,FIRST_PANEL_02_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000015,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T10:35:00+09:00,APP0003_FIRST_INTERVIEW_PRACTITIONER_QA,FIRST_PANEL_02_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000016,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.41666667,2026-12-14T10:35:00+09:00,APP0003_FIRST_INTERVIEW_PRACTITIONER_QA,FIRST_PANEL_02_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000017,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.33333333,2026-12-14T10:55:00+09:00,APP0003_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000018,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,0.33333333,2026-12-14T10:55:00+09:00,APP0003_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000019,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,RELEASED,0.16666668,2026-12-14T10:55:00+09:00,,,COMPLETED_UNUSED
ASG_000020,APP0004_FIRST_INTERVIEW,RSV_APP0004_FIRST_INTERVIEW,RESERVED,4,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000021,APP0004_FIRST_INTERVIEW,RSV_APP0004_FIRST_INTERVIEW,RELEASED,4.0,2026-12-15T09:00:00+09:00,,,NO_RESPONSE_UNUSED
ASG_000022,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,RESERVED,4,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000023,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,0.58333333,2026-12-14T09:35:00+09:00,APP0005_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,FIRST_PANEL_04_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000024,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,0.58333333,2026-12-14T09:35:00+09:00,APP0005_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,FIRST_PANEL_04_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000025,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,0.5,2026-12-14T10:05:00+09:00,APP0005_FIRST_INTERVIEW_AI_CASE,FIRST_PANEL_04_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000026,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,0.5,2026-12-14T10:05:00+09:00,APP0005_FIRST_INTERVIEW_AI_CASE,FIRST_PANEL_04_HIRING_MANAGER,ACTUAL_PARTICIPATION
