activity_id,session_activity_id
APP0002_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0002_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0002_FIRST_INTERVIEW_AI_CASE,APP0002_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0002_FIRST_INTERVIEW_PRACTITIONER_QA,APP0002_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0003_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0003_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0003_FIRST_INTERVIEW_AI_CASE,APP0003_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0003_FIRST_INTERVIEW_PRACTITIONER_QA,APP0003_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0005_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0005_FIRST_INTERVIEW_AI_CASE,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0005_FIRST_INTERVIEW_PRACTITIONER_QA,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0006_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0006_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0006_FIRST_INTERVIEW_AI_CASE,APP0006_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0006_FIRST_INTERVIEW_PRACTITIONER_QA,APP0006_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0007_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0007_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0007_FIRST_INTERVIEW_AI_CASE,APP0007_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0007_FIRST_INTERVIEW_PRACTITIONER_QA,APP0007_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0009_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0009_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0009_FIRST_INTERVIEW_AI_CASE,APP0009_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0009_FIRST_INTERVIEW_PRACTITIONER_QA,APP0009_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0010_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0010_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0010_FIRST_INTERVIEW_AI_CASE,APP0010_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0010_FIRST_INTERVIEW_PRACTITIONER_QA,APP0010_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0012_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0012_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0012_FIRST_INTERVIEW_AI_CASE,APP0012_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0012_FIRST_INTERVIEW_PRACTITIONER_QA,APP0012_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0013_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0013_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0013_FIRST_INTERVIEW_AI_CASE,APP0013_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0013_FIRST_INTERVIEW_PRACTITIONER_QA,APP0013_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0014_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0014_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0014_FIRST_INTERVIEW_AI_CASE,APP0014_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0014_FIRST_INTERVIEW_PRACTITIONER_QA,APP0014_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0018_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0018_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0018_FIRST_INTERVIEW_AI_CASE,APP0018_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0018_FIRST_INTERVIEW_PRACTITIONER_QA,APP0018_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0021_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0021_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0021_FIRST_INTERVIEW_AI_CASE,APP0021_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0021_FIRST_INTERVIEW_PRACTITIONER_QA,APP0021_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0022_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0022_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0022_FIRST_INTERVIEW_AI_CASE,APP0022_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0022_FIRST_INTERVIEW_PRACTITIONER_QA,APP0022_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0025_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0025_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0025_FIRST_INTERVIEW_AI_CASE,APP0025_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0025_FIRST_INTERVIEW_PRACTITIONER_QA,APP0025_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0027_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0027_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0027_FIRST_INTERVIEW_AI_CASE,APP0027_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0027_FIRST_INTERVIEW_PRACTITIONER_QA,APP0027_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0029_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0029_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0029_FIRST_INTERVIEW_AI_CASE,APP0029_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0029_FIRST_INTERVIEW_PRACTITIONER_QA,APP0029_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
