task_id,candidate_id,employee_id,milestone,task_type,related_skill_id,planned_at,assigned_at,completed_at,evidence_ref,work_evidence,status,mentor_confirmed,decision_provenance
TASK_EMP_C0012_01,C0012,EMP_C0012,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-03T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-03T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_02,C0012,EMP_C0012,MONTH_3,PIPELINE_REVIEW,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-02T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-02T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_03,C0012,EMP_C0012,MONTH_6,WORK_TASK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-28T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-28T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_04,C0012,EMP_C0012,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-07T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_04/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_04"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-07T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_05"",""task"":""ENVIRONMENT_CHECK"",""verification"":""CHECK_PENDING""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_05,C0012,EMP_C0012,MONTH_3,PIPELINE_REVIEW,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-13T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_05/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_05"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-13T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_05"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_06,C0012,EMP_C0012,MONTH_6,WORK_TASK,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-31T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_06/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_06"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-31T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_05"",""task"":""WORK_TASK"",""verification"":""CHECK_PENDING""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_07,C0012,EMP_C0012,EXTENDED,FOLLOW_UP_WORK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-09-30T09:00:00+09:00,2027-10-07T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_07/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_07"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-10-07T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""FOLLOW_UP_WORK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0012_08,C0012,EMP_C0012,EXTENDED,FOLLOW_UP_WORK,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-09-30T09:00:00+09:00,2027-10-14T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_08/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0012_08"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-10-14T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_05"",""task"":""FOLLOW_UP_WORK"",""verification"":""CHECK_PENDING""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0102_01,C0102,EMP_C0102,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-14T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0102_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0102_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-14T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_06"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0102_02,C0102,EMP_C0102,MONTH_3,PIPELINE_REVIEW,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-06T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0102_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0102_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-06T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_06"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0102_03,C0102,EMP_C0102,MONTH_6,WORK_TASK,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-31T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0102_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0102_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-31T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_06"",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0050_01,C0050,EMP_C0050,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-03-31T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0050_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0050_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-03-31T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_03"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0050_02,C0050,EMP_C0050,MONTH_3,PIPELINE_REVIEW,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-02T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0050_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0050_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-02T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0050_03,C0050,EMP_C0050,MONTH_6,WORK_TASK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-09-11T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0050_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0050_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-09-11T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0050_04,C0050,EMP_C0050,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-07T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0050_04/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0050_04"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-07T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_05"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0050_05,C0050,EMP_C0050,MONTH_3,PIPELINE_REVIEW,M1_SKILL_05,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-13T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0050_05/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0050_05"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-13T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_05"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
