offer_id,application_id,candidate_id,offered_at,expected_join_at,response_deadline
OF_APP0012,APP0012,C0012,2027-01-13T11:30:00+09:00,2027-03-01T09:00:00+09:00,2027-01-27T11:30:00+09:00
OF_APP0005,APP0005,C0005,2027-01-26T12:35:00+09:00,2027-03-01T09:00:00+09:00,2027-02-09T12:35:00+09:00
OF_APP0070,APP0070,C0070,2027-01-29T12:05:00+09:00,2027-03-01T09:00:00+09:00,2027-02-12T12:05:00+09:00
OF_APP0096,APP0096,C0096,2027-01-25T11:10:00+09:00,2027-03-01T09:00:00+09:00,2027-02-08T11:10:00+09:00
OF_APP0102,APP0102,C0102,2027-01-30T11:30:00+09:00,2027-03-01T09:00:00+09:00,2027-02-13T11:30:00+09:00
OF_APP0050,APP0050,C0050,2027-01-27T11:10:00+09:00,2027-03-01T09:00:00+09:00,2027-02-10T11:10:00+09:00
OF_APP0113,APP0113,C0113,2027-01-30T11:30:00+09:00,2027-03-01T09:00:00+09:00,2027-02-13T11:30:00+09:00
OF_APP0082,APP0082,C0082,2027-02-06T11:55:00+09:00,2027-03-06T11:55:00+09:00,2027-02-20T11:55:00+09:00
OF_APP0135,APP0135,C0135,2027-02-12T11:05:00+09:00,2027-03-05T11:05:00+09:00,2027-02-26T11:05:00+09:00
OF_APP0155,APP0155,C0155,2027-02-14T11:00:00+09:00,2027-03-01T09:00:00+09:00,2027-02-28T11:00:00+09:00
OF_APP0131,APP0131,C0131,2027-02-10T11:10:00+09:00,2027-03-01T09:00:00+09:00,2027-02-24T11:10:00+09:00
OF_APP0136,APP0136,C0136,2027-02-13T11:10:00+09:00,2027-03-13T11:10:00+09:00,2027-02-27T11:10:00+09:00
OF_APP0149,APP0149,C0149,2027-02-15T11:25:00+09:00,2027-03-15T11:25:00+09:00,2027-03-01T11:25:00+09:00
OF_APP0166,APP0166,C0166,2027-02-13T11:15:00+09:00,2027-03-13T11:15:00+09:00,2027-02-27T11:15:00+09:00
OF_APP0181,APP0181,C0181,2027-02-27T11:35:00+09:00,2027-03-20T11:35:00+09:00,2027-03-13T11:35:00+09:00
OF_APP0225,APP0225,C0225,2027-02-26T11:05:00+09:00,2027-03-12T11:05:00+09:00,2027-03-12T11:05:00+09:00
OF_APP0228,APP0228,C0228,2027-03-09T12:00:00+09:00,2027-04-06T12:00:00+09:00,2027-03-23T12:00:00+09:00
OF_APP0216,APP0216,C0216,2027-03-07T11:25:00+09:00,2027-03-21T11:25:00+09:00,2027-03-21T11:25:00+09:00
OF_APP0238,APP0238,C0238,2027-03-06T11:10:00+09:00,2027-03-27T11:10:00+09:00,2027-03-20T11:10:00+09:00
OF_APP0300,APP0300,C0300,2027-03-10T11:25:00+09:00,2027-03-24T11:25:00+09:00,2027-03-24T11:25:00+09:00
OF_APP0334,APP0334,C0334,2027-03-15T11:20:00+09:00,2027-04-12T11:20:00+09:00,2027-03-29T11:20:00+09:00
OF_APP0342,APP0342,C0342,2027-03-17T11:20:00+09:00,2027-04-14T11:20:00+09:00,2027-03-31T11:20:00+09:00
