offer_event_id,offer_id,event_type,occurred_at,reason_code
OF_APP0012_OFFERED,OF_APP0012,OFFERED,2027-01-13T11:30:00+09:00,
OF_APP0012_ACCEPTED,OF_APP0012,ACCEPTED,2027-01-20T11:30:00+09:00,
OF_APP0005_OFFERED,OF_APP0005,OFFERED,2027-01-26T12:35:00+09:00,
OF_APP0005_DECLINED,OF_APP0005,DECLINED,2027-01-28T12:35:00+09:00,UNKNOWN
OF_APP0070_OFFERED,OF_APP0070,OFFERED,2027-01-29T12:05:00+09:00,
OF_APP0070_ACCEPTED,OF_APP0070,ACCEPTED,2027-02-08T12:05:00+09:00,
OF_APP0070_PRE_JOIN_WITHDRAWAL,OF_APP0070,PRE_JOIN_WITHDRAWAL,2027-02-09T12:05:00+09:00,UNKNOWN
OF_APP0096_OFFERED,OF_APP0096,OFFERED,2027-01-25T11:10:00+09:00,
OF_APP0096_EXPIRED,OF_APP0096,EXPIRED,2027-02-08T11:10:00+09:00,UNKNOWN
OF_APP0102_OFFERED,OF_APP0102,OFFERED,2027-01-30T11:30:00+09:00,
OF_APP0102_ACCEPTED,OF_APP0102,ACCEPTED,2027-02-03T11:30:00+09:00,
OF_APP0050_OFFERED,OF_APP0050,OFFERED,2027-01-27T11:10:00+09:00,
OF_APP0050_ACCEPTED,OF_APP0050,ACCEPTED,2027-02-06T11:10:00+09:00,
OF_APP0113_OFFERED,OF_APP0113,OFFERED,2027-01-30T11:30:00+09:00,
OF_APP0113_ACCEPTED,OF_APP0113,ACCEPTED,2027-02-09T11:30:00+09:00,
OF_APP0082_OFFERED,OF_APP0082,OFFERED,2027-02-06T11:55:00+09:00,
OF_APP0082_ACCEPTED,OF_APP0082,ACCEPTED,2027-02-08T11:55:00+09:00,
OF_APP0082_PRE_JOIN_WITHDRAWAL,OF_APP0082,PRE_JOIN_WITHDRAWAL,2027-02-09T11:55:00+09:00,UNKNOWN
OF_APP0135_OFFERED,OF_APP0135,OFFERED,2027-02-12T11:05:00+09:00,
OF_APP0135_ACCEPTED,OF_APP0135,ACCEPTED,2027-02-14T11:05:00+09:00,
OF_APP0155_OFFERED,OF_APP0155,OFFERED,2027-02-14T11:00:00+09:00,
OF_APP0155_EXPIRED,OF_APP0155,EXPIRED,2027-02-28T11:00:00+09:00,UNKNOWN
OF_APP0131_OFFERED,OF_APP0131,OFFERED,2027-02-10T11:10:00+09:00,
OF_APP0131_ACCEPTED,OF_APP0131,ACCEPTED,2027-02-17T11:10:00+09:00,
OF_APP0136_OFFERED,OF_APP0136,OFFERED,2027-02-13T11:10:00+09:00,
OF_APP0136_DECLINED,OF_APP0136,DECLINED,2027-02-15T11:10:00+09:00,UNKNOWN
OF_APP0149_OFFERED,OF_APP0149,OFFERED,2027-02-15T11:25:00+09:00,
OF_APP0149_DECLINED,OF_APP0149,DECLINED,2027-02-22T11:25:00+09:00,UNKNOWN
OF_APP0166_OFFERED,OF_APP0166,OFFERED,2027-02-13T11:15:00+09:00,
OF_APP0166_ACCEPTED,OF_APP0166,ACCEPTED,2027-02-20T11:15:00+09:00,
OF_APP0181_OFFERED,OF_APP0181,OFFERED,2027-02-27T11:35:00+09:00,
OF_APP0181_ACCEPTED,OF_APP0181,ACCEPTED,2027-03-06T11:35:00+09:00,
OF_APP0225_OFFERED,OF_APP0225,OFFERED,2027-02-26T11:05:00+09:00,
OF_APP0225_ACCEPTED,OF_APP0225,ACCEPTED,2027-02-28T11:05:00+09:00,
OF_APP0228_OFFERED,OF_APP0228,OFFERED,2027-03-09T12:00:00+09:00,
OF_APP0228_EXPIRED,OF_APP0228,EXPIRED,2027-03-23T12:00:00+09:00,UNKNOWN
OF_APP0216_OFFERED,OF_APP0216,OFFERED,2027-03-07T11:25:00+09:00,
OF_APP0216_EXPIRED,OF_APP0216,EXPIRED,2027-03-21T11:25:00+09:00,UNKNOWN
OF_APP0238_OFFERED,OF_APP0238,OFFERED,2027-03-06T11:10:00+09:00,
OF_APP0238_ACCEPTED,OF_APP0238,ACCEPTED,2027-03-10T11:10:00+09:00,
OF_APP0300_OFFERED,OF_APP0300,OFFERED,2027-03-10T11:25:00+09:00,
OF_APP0300_ACCEPTED,OF_APP0300,ACCEPTED,2027-03-14T11:25:00+09:00,
OF_APP0334_OFFERED,OF_APP0334,OFFERED,2027-03-15T11:20:00+09:00,
OF_APP0334_EXPIRED,OF_APP0334,EXPIRED,2027-03-29T11:20:00+09:00,UNKNOWN
OF_APP0342_OFFERED,OF_APP0342,OFFERED,2027-03-17T11:20:00+09:00,
OF_APP0342_EXPIRED,OF_APP0342,EXPIRED,2027-03-31T11:20:00+09:00,UNKNOWN
