allocation_id,stage_event_id,activity_id,participant_id,purpose,event_type,person_hours,effective_at,reason_code
EA_000000,APP0005_FIRST_INTERVIEW,,FIRST_PANEL_01_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000001,APP0005_FIRST_INTERVIEW,,FIRST_PANEL_01_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000002,APP0005_FIRST_INTERVIEW,,FIRST_PANEL_01_TECHNICAL_REVIEWER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000003,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_01_ML_ENGINEER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000004,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_01_HIRING_MANAGER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000005,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_01_TECHNICAL_REVIEWER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000006,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_01_ML_ENGINEER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000007,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_01_ML_ENGINEER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000008,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_01_HIRING_MANAGER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000009,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_01_HIRING_MANAGER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000010,APP0031_FIRST_INTERVIEW,,FIRST_PANEL_02_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000011,APP0031_FIRST_INTERVIEW,,FIRST_PANEL_02_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000012,APP0031_FIRST_INTERVIEW,,FIRST_PANEL_02_TECHNICAL_REVIEWER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000013,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_ML_ENGINEER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000014,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_HIRING_MANAGER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000015,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_TECHNICAL_REVIEWER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000016,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_ML_ENGINEER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000017,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_ML_ENGINEER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000018,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_HIRING_MANAGER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000019,APP0031_FIRST_INTERVIEW,APP0031_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_HIRING_MANAGER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000020,APP0039_FIRST_INTERVIEW,,FIRST_PANEL_03_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000021,APP0039_FIRST_INTERVIEW,,FIRST_PANEL_03_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000022,APP0039_FIRST_INTERVIEW,,FIRST_PANEL_03_TECHNICAL_REVIEWER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000023,APP0039_FIRST_INTERVIEW,APP0039_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_03_ML_ENGINEER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000024,APP0039_FIRST_INTERVIEW,APP0039_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_03_HIRING_MANAGER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000025,APP0039_FIRST_INTERVIEW,APP0039_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_03_TECHNICAL_REVIEWER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000026,APP0056_FIRST_INTERVIEW,,FIRST_PANEL_04_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000027,APP0056_FIRST_INTERVIEW,,FIRST_PANEL_04_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000028,APP0056_FIRST_INTERVIEW,,FIRST_PANEL_04_TECHNICAL_REVIEWER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
EA_000029,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_04_ML_ENGINEER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000030,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_04_HIRING_MANAGER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000031,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_04_TECHNICAL_REVIEWER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000032,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_04_ML_ENGINEER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000033,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_04_ML_ENGINEER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000034,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_04_HIRING_MANAGER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000035,APP0056_FIRST_INTERVIEW,APP0056_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_04_HIRING_MANAGER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000036,APP0061_FIRST_INTERVIEW,,FIRST_PANEL_05_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-03T15:44:00+09:00,SCHEDULED_ALLOCATION
