offer_event_id,offer_id,event_type,occurred_at,reason_code
OF_APP0285_OFFERED,OF_APP0285,OFFERED,2027-01-20T11:50:00+09:00,
OF_APP0285_ACCEPTED,OF_APP0285,ACCEPTED,2027-01-30T11:50:00+09:00,
OF_APP0005_OFFERED,OF_APP0005,OFFERED,2027-01-22T12:05:00+09:00,
OF_APP0005_DECLINED,OF_APP0005,DECLINED,2027-01-24T12:05:00+09:00,UNKNOWN
OF_APP0297_OFFERED,OF_APP0297,OFFERED,2027-01-19T11:45:00+09:00,
OF_APP0297_ACCEPTED,OF_APP0297,ACCEPTED,2027-01-21T11:45:00+09:00,
OF_APP0181_OFFERED,OF_APP0181,OFFERED,2027-01-20T11:35:00+09:00,
OF_APP0181_ACCEPTED,OF_APP0181,ACCEPTED,2027-01-27T11:35:00+09:00,
OF_APP0082_OFFERED,OF_APP0082,OFFERED,2027-01-16T10:55:00+09:00,
OF_APP0082_ACCEPTED,OF_APP0082,ACCEPTED,2027-01-18T10:55:00+09:00,
OF_APP0082_PRE_JOIN_WITHDRAWAL,OF_APP0082,PRE_JOIN_WITHDRAWAL,2027-01-19T10:55:00+09:00,UNKNOWN
OF_APP0342_OFFERED,OF_APP0342,OFFERED,2027-01-13T11:55:00+09:00,
OF_APP0342_EXPIRED,OF_APP0342,EXPIRED,2027-01-27T11:55:00+09:00,UNKNOWN
OF_APP0238_OFFERED,OF_APP0238,OFFERED,2027-01-23T11:10:00+09:00,
OF_APP0238_ACCEPTED,OF_APP0238,ACCEPTED,2027-01-27T11:10:00+09:00,
