allocation_id,stage_event_id,activity_id,participant_id,purpose,event_type,person_hours,effective_at,reason_code
EA_000000,APP0004_FIRST_INTERVIEW,,FIRST_PANEL_01_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000001,APP0004_FIRST_INTERVIEW,,FIRST_PANEL_01_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000002,APP0004_FIRST_INTERVIEW,,FIRST_PANEL_01_TECHNICAL_REVIEWER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000003,APP0004_FIRST_INTERVIEW,,FIRST_PANEL_01_ML_ENGINEER,INTERVIEW,RELEASED,1.0,2026-12-11T09:00:00+09:00,NO_RESPONSE_UNUSED
EA_000004,APP0004_FIRST_INTERVIEW,,FIRST_PANEL_01_HIRING_MANAGER,INTERVIEW,RELEASED,1.0,2026-12-11T09:00:00+09:00,NO_RESPONSE_UNUSED
EA_000005,APP0004_FIRST_INTERVIEW,,FIRST_PANEL_01_TECHNICAL_REVIEWER,INTERVIEW,RELEASED,1.0,2026-12-11T09:00:00+09:00,NO_RESPONSE_UNUSED
EA_000006,APP0005_FIRST_INTERVIEW,,FIRST_PANEL_02_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000007,APP0005_FIRST_INTERVIEW,,FIRST_PANEL_02_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000008,APP0005_FIRST_INTERVIEW,,FIRST_PANEL_02_TECHNICAL_REVIEWER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000009,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_ML_ENGINEER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000010,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_HIRING_MANAGER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000011,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_TECHNICAL_REVIEWER,INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,ACTUAL_PARTICIPATION
EA_000012,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_ML_ENGINEER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000013,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_ML_ENGINEER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000014,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_HIRING_MANAGER,CALIBRATION,RESERVED,0.25,2026-12-10T10:00:00+09:00,CALIBRATION_REQUIRED
EA_000015,APP0005_FIRST_INTERVIEW,APP0005_FIRST_INTERVIEW_CALIBRATION,FIRST_PANEL_02_HIRING_MANAGER,CALIBRATION,CONSUMED,0.25,2026-12-10T10:15:00+09:00,ACTUAL_PARTICIPATION
EA_000016,APP0025_FIRST_INTERVIEW,,FIRST_PANEL_03_ML_ENGINEER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
EA_000017,APP0025_FIRST_INTERVIEW,,FIRST_PANEL_03_HIRING_MANAGER,INTERVIEW,RESERVED,1.0,2026-12-04T16:21:00+09:00,SCHEDULED_ALLOCATION
