observation_id,evidence_id,application_id,candidate_id,evaluator_id,evaluator_role,skill_id,rubric_id,observation_text,proposed_level,explicit_limitation,created_at,decision_provenance
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0010_01_BUILD_M1_SKILL_03,EV_XP_APP0010_01_BUILD_M1_SKILL_03,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0010_02_BUILD_M1_SKILL_03,EV_XP_APP0010_02_BUILD_M1_SKILL_03,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0010_02_VALIDATE_M1_SKILL_03,EV_XP_APP0010_02_VALIDATE_M1_SKILL_03,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0009_01_PROBLEM_M1_SKILL_01,EV_XP_APP0009_01_PROBLEM_M1_SKILL_01,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_01,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0009_02_BUILD_M1_SKILL_03,EV_XP_APP0009_02_BUILD_M1_SKILL_03,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0009_02_PROBLEM_M1_SKILL_01,EV_XP_APP0009_02_PROBLEM_M1_SKILL_01,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_01,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0009_02_VALIDATE_M1_SKILL_03,EV_XP_APP0009_02_VALIDATE_M1_SKILL_03,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0013_01_BUILD_M1_SKILL_03,EV_XP_APP0013_01_BUILD_M1_SKILL_03,APP0013,C0013,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-16T11:54:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0013_01_VALIDATE_M1_SKILL_03,EV_XP_APP0013_01_VALIDATE_M1_SKILL_03,APP0013,C0013,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-16T11:54:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_XP_APP0008_01_BUILD_M1_SKILL_03,EV_XP_APP0008_01_BUILD_M1_SKILL_03,APP0008,C0008,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_03,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-20T10:37:00+09:00,SYNTHETIC_HUMAN_SCENARIO
