assignment_event_id,stage_event_id,reservation_id,event_type,person_hours,effective_at,activity_id,participant_id,reason_code
ASG_000000,APP0004_FIRST_INTERVIEW,RSV_APP0004_FIRST_INTERVIEW,RESERVED,3,2026-12-04T16:21:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000001,APP0004_FIRST_INTERVIEW,RSV_APP0004_FIRST_INTERVIEW,RELEASED,3.0,2026-12-11T09:00:00+09:00,,,NO_RESPONSE_UNUSED
ASG_000002,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,RESERVED,3,2026-12-04T16:21:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000003,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000004,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000005,APP0005_FIRST_INTERVIEW,RSV_APP0005_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_TECHNICAL_REVIEWER,ACTUAL_PARTICIPATION
ASG_000006,APP0025_FIRST_INTERVIEW,RSV_APP0025_FIRST_INTERVIEW,RESERVED,3,2026-12-04T16:21:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000007,APP0025_FIRST_INTERVIEW,RSV_APP0025_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0025_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_03_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000008,APP0025_FIRST_INTERVIEW,RSV_APP0025_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0025_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_03_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000009,APP0025_FIRST_INTERVIEW,RSV_APP0025_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0025_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_03_TECHNICAL_REVIEWER,ACTUAL_PARTICIPATION
ASG_000010,APP0031_FIRST_INTERVIEW,RSV_APP0031_FIRST_INTERVIEW,RESERVED,3,2026-12-04T16:21:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000011,APP0031_FIRST_INTERVIEW,RSV_APP0031_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_04_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000012,APP0031_FIRST_INTERVIEW,RSV_APP0031_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_04_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000013,APP0031_FIRST_INTERVIEW,RSV_APP0031_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_04_TECHNICAL_REVIEWER,ACTUAL_PARTICIPATION
ASG_000014,APP0037_FIRST_INTERVIEW,RSV_APP0037_FIRST_INTERVIEW,RESERVED,3,2026-12-04T16:21:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000015,APP0037_FIRST_INTERVIEW,RSV_APP0037_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0037_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_05_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000016,APP0037_FIRST_INTERVIEW,RSV_APP0037_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-10T10:00:00+09:00,APP0037_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_05_HIRING_MANAGER,ACTUAL_PARTICIPATION
