offer_event_id,offer_id,event_type,occurred_at,reason_code
OF_APP0070_OFFERED,OF_APP0070,OFFERED,2027-01-15T11:35:00+09:00,
OF_APP0070_ACCEPTED,OF_APP0070,ACCEPTED,2027-01-25T11:35:00+09:00,
OF_APP0070_PRE_JOIN_WITHDRAWAL,OF_APP0070,PRE_JOIN_WITHDRAWAL,2027-01-26T11:35:00+09:00,UNKNOWN
OF_APP0155_OFFERED,OF_APP0155,OFFERED,2027-01-17T11:00:00+09:00,
OF_APP0155_EXPIRED,OF_APP0155,EXPIRED,2027-01-31T11:00:00+09:00,UNKNOWN
OF_APP0082_OFFERED,OF_APP0082,OFFERED,2027-01-20T11:40:00+09:00,
OF_APP0082_ACCEPTED,OF_APP0082,ACCEPTED,2027-01-22T11:40:00+09:00,
OF_APP0082_PRE_JOIN_WITHDRAWAL,OF_APP0082,PRE_JOIN_WITHDRAWAL,2027-01-23T11:40:00+09:00,UNKNOWN
OF_APP0181_OFFERED,OF_APP0181,OFFERED,2027-01-27T11:05:00+09:00,
OF_APP0181_ACCEPTED,OF_APP0181,ACCEPTED,2027-02-03T11:05:00+09:00,
OF_APP0285_OFFERED,OF_APP0285,OFFERED,2027-01-31T11:50:00+09:00,
OF_APP0285_ACCEPTED,OF_APP0285,ACCEPTED,2027-02-10T11:50:00+09:00,
OF_APP0300_OFFERED,OF_APP0300,OFFERED,2027-01-24T11:10:00+09:00,
OF_APP0300_ACCEPTED,OF_APP0300,ACCEPTED,2027-01-28T11:10:00+09:00,
OF_APP0342_OFFERED,OF_APP0342,OFFERED,2027-01-24T10:50:00+09:00,
OF_APP0342_EXPIRED,OF_APP0342,EXPIRED,2027-02-07T10:50:00+09:00,UNKNOWN
OF_APP0216_OFFERED,OF_APP0216,OFFERED,2027-01-31T11:15:00+09:00,
OF_APP0216_EXPIRED,OF_APP0216,EXPIRED,2027-02-14T11:15:00+09:00,UNKNOWN
OF_APP0238_OFFERED,OF_APP0238,OFFERED,2027-01-30T11:10:00+09:00,
OF_APP0238_ACCEPTED,OF_APP0238,ACCEPTED,2027-02-03T11:10:00+09:00,
