observation_id,evidence_id,application_id,candidate_id,evaluator_id,evaluator_role,skill_id,rubric_id,observation_text,proposed_level,explicit_limitation,created_at,decision_provenance
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_01,M1_EVIDENCE_RUBRIC_V02,원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다.,NOT_OBSERVED,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_04,M1_EVIDENCE_RUBRIC_V02,행동은 확인했지만 원문에 검증 미실행이 명시됐다.,LIMITED,true,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_05,M1_EVIDENCE_RUBRIC_V02,행동·검증·수정과 재확인의 구체적 근거가 있다.,STRONG,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_06,M1_EVIDENCE_RUBRIC_V02,구체적인 행동과 검증을 확인했다.,MODERATE,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08,APP0010,C0010,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_08,M1_EVIDENCE_RUBRIC_V02,원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다.,NOT_OBSERVED,false,2026-10-21T10:11:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_01,M1_EVIDENCE_RUBRIC_V02,원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다.,NOT_OBSERVED,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_04,M1_EVIDENCE_RUBRIC_V02,원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다.,NOT_OBSERVED,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_05,M1_EVIDENCE_RUBRIC_V02,행동은 확인했지만 원문에 검증 미실행이 명시됐다.,LIMITED,true,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_06,M1_EVIDENCE_RUBRIC_V02,행동·검증·수정과 재확인의 구체적 근거가 있다.,STRONG,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08,APP0009,C0009,DOCUMENT_SCREEN_PANEL_01_RECRUITER,RECRUITER,M1_SKILL_08,M1_EVIDENCE_RUBRIC_V02,맥락과 검증 설명은 구체적이나 개인 수행 범위는 추가 확인이 필요하다.,MODERATE,false,2026-10-18T11:14:00+09:00,SYNTHETIC_HUMAN_SCENARIO
